skill_title,skill_description,skill_type,is_emerging,is_casl
"Additive Manufacturing Standards, Qualifications, and Certifications","Comply with industry standards and regulations in the course of additive manufacturing process design, obtain relevant certifications for additive manufacturing processes and materials and staying up-to-date with evolving quality assurance protocols to ensure product reliability and safety.",tsc,False,False
Additive Manufacturing of Metallic Components,"Fabricate metal parts by understanding metallic material properties, operating additive manufacturing machines, optimising designs, ensuring quality, and employing post-processing methods specific to the additive manufacturing of metal components, contributing to the production of parts for various applications.",tsc,False,False
Additive Manufacturing of Polymer-Based Components,"Design and print polymer-based components by understanding polymer material properties, operating additive manufacturing machines, optimising designs, ensuring quality and employing post-processing methods specific to the additive manufacturing of polymer-based components, contributing to the production of parts for various applications. ",tsc,False,False
Advanced Material Treatment Processes,"Apply a set of techniques and processes to modify materials and enhance their performance, durability, and functionality, making them suitable for specific industrial and research purposes. ",tsc,False,False
Advanced Processing Technology,"Design and apply advanced processing technology to manufacture food products that are appealing, tasty, nutritious and have a long shelf life",tsc,True,False
Advocacy and Representation,Advance the interests of the marginalised and/or vulnerable within the community regardless of mode of delivery,tsc,False,False
Aerial Camera Operations,"Manage the set-up and operations of types of aerial cameras, lenses and accessories for the production of content",tsc,False,False
Aerodynamics Principles Application,Apply and use principles of aerodynamics to optimise and solve problems related to aircraft performance and flight safety,tsc,False,False
Aerospace Engineering Drawing Interpretation and Management,"Use engineering drawings and documentation describing layout, location, interconnection, design and operational parameters, and operating and safety design limits to support engineering activities",tsc,False,False
Aerospace Heat Treatment Process,"Perform heat treatment processes on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc,False,False
Aerospace Maintenance Practices Application,"Perform aircraft maintenance practices in accordance with applicable technical manuals and organisational procedures. This includes application of safety practices on aircraft, hangar and workshop facilities, use of appropriate tools, equipment and methods and interpretation of engineering drawings",tsc,False,False
Aerospace Materials and Hardware Selection,"Select appropriate aerospace materials and hardware for maintenance, repair, overhaul or manufacturing of aircrafts in accordance with applicable original equipment manufacturer (OEM) manuals and organisational procedures",tsc,False,False
Aesthetic and Design Sensibility,"Imagine and develop novel, relevant and appropriate aesthetics to engage and evoke accurate and appropriate emotional and sensorial responses from target audiences",tsc,False,False
Affiliate Marketing,"Select and manage affiliates to strengthen customer engagement, enhance lead conversion, broaden the reach of marketing efforts and optimise marketing return-on-investment",tsc,True,False
After-sales Service,"Implement, monitor after-sales activities and review policies for after-sales procedures to ensure customer satisfaction",tsc,False,False
Agile Coaching,"Formulate and implement Agile coaching frameworks, processes and standards to foster Agile mindset and practices within the organisation and develop Agile teams",tsc,False,True
Agile Software Development,"Plan and implement Agile methodology and the use of adaptive and iterative methods and techniques in the software development lifecycle to account for continuous evolution, development, and deployment to enable seamless delivery of the application to the end user",tsc,False,True
Agriculture Techniques and Cultivation Programme Management,"Apply agriculture principles and techniques to cultivate and grow produce, incorporating agritechnologies and processes to optimise yield in accordance with business objectives",tsc,False,False
Air Cargo Operations Management,Manage and implement processes and activities to build and develop air cargo operations,tsc,False,False
Air Conditioning and Mechanical Ventilation System Design,Design cost-effective and efficient air conditioning and mechanical ventilation systems,tsc,False,False
Air Conditioning and Mechanical Ventilation Systems Maintenance,Implement preventive and corrective maintenance of air-conditioning and mechanical ventilation systems,tsc,False,False
Air-freight Import and Export Documentation,Manage and execute documentation processes to facilitate the import and export of air cargo shipments,tsc,False,False
Air-freight Tracking System Adminsitration,Administer and enhance cargo tracking systems to monitor cargo movements during flights and transhipments,tsc,False,False
Aircraft Batteries Maintenance,Service and maintain aircraft batteries using appropriate resources and conduct functional checks,tsc,False,False
Aircraft Cabin Equipment and Furnishing Maintenance,"Maintain and repair aircraft cabin equipment and furnishing using appropriate resources and conduct functional checks after maintenance work. This includes maintenance of aircraft upholstery, cabin components and cabin furnishing installations",tsc,False,False
Aircraft Communication Components Maintenance,Maintain and repair aircraft communication components using appropriate resources and conduct functional checks,tsc,False,False
Aircraft Communication Systems Maintenance,"Maintain aircraft communication systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of radio and audio communication systems, radio emergency and reporting systems, and in-flight entertainment systems",tsc,False,False
Aircraft Cruise Operations,"Monitor aircraft systems, performance and external environments as well as comply with Air Traffic Control (ATC) instructions and en route navigation requirements to ensure safe and optimal flight conditions",tsc,False,False
Aircraft Dispatch,Review flight dispatch documents to identify dispatch issues and determine mission continuance,tsc,False,False
Aircraft Electrical Equipment and Accessories Maintenance,"Maintain and repair aircraft electrical equipment and accessories using appropriate resources and conduct functional checks. This includes maintenance of alternating current (AC) and direct current (DC) machines, power contactors, circuit breakers, relays and lighting accessories",tsc,False,False
Aircraft Electrical Systems Maintenance,Maintain aircraft electrical systems using appropriate resources and conduct functional tests after maintenance work. This includes checking of electrical installations and maintenance of electrical power and lighting systems,tsc,False,False
Aircraft Emergency Management,Command and control aircraft during emergency situations in accordance with Safety and Emergency Procedures (SEP),tsc,False,False
Aircraft Fuel and Engine Systems Maintenance,"Maintain aircraft fuel and engine systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of engine fire protection systems, aircraft fuel systems, engine controls and indication systems, and auxiliary power units",tsc,False,False
Aircraft Hydraulic Components Maintenance,Maintain and repair aircraft hydraulic system components in dedicated workshops using appropriate resources and conduct functional checks,tsc,False,False
Aircraft Instrument Systems Maintenance,"Maintain aircraft instrument systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of air data systems and instruments, gyroscopic instruments and compass systems, indication and warning systems, and flight data recording systems",tsc,False,False
Aircraft Instruments Maintenance,"Maintain and repair aircraft instruments using appropriate resources and conduct functional checks. This includes maintenance of pitot-static, magnetic compass, gyroscopic, flight indicating system and engine indicating instruments",tsc,False,False
Aircraft Landing Gears Maintenance,Maintain and repair aircraft landing gear systems in dedicated workshops using appropriate resources and conduct functional checks,tsc,False,False
Aircraft Landing Operations,"Initiate aircraft descent, approach and landing in accordance with procedures and Air Traffic Control (ATC) instructions to ensure safe landing within the runway environment",tsc,False,False
Aircraft Load Planning,Plan aircraft loads with due consideration for regulatory requirements and safety standards,tsc,False,False
Aircraft Manual Handling,Operate aircraft to ensure smooth and safe handling during all phases of flights,tsc,False,False
Aircraft Movement Management,Direct aircraft on the ramps by using appropriate manual and systems cues,tsc,False,False
Aircraft Navigation and Automated Flight Systems Maintenance,"Maintain aircraft navigation and automated flight systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of radar navigation, radio and inertial navigation, and automated flight control systems",tsc,False,False
Aircraft Navigation and Radar Equipment Maintenance,Maintain and repair aircraft navigation systems and radar equipment using appropriate resources and conduct functional checks,tsc,False,False
Aircraft Performance Management,Conduct post-flight analysis to develop optimal flight performance parameters,tsc,False,False
Aircraft Pneumatic Components Maintenance,Maintain and repair aircraft pneumatic system components in dedicated workshops using appropriate resources and conduct functional checks,tsc,False,False
Aircraft Sensing Components Maintenance,"Maintain and repair aircraft sensing components using appropriate resources and conduct functional checks. This includes maintenance of servo actuators, pressure transmitters, synchro, fuel indication system, engine indicating system, oxygen system and cabin pressurisation components",tsc,False,False
Aircraft Take-Off Operations,Perform take-off roll in accordance with Standard Operating Procedures (SOPs) to ensure take-off operations,tsc,False,False
Aircraft Turnaround Coordination,Conduct activities to prepare and turn around inbound aircraft for outbound flights,tsc,False,False
Aircraft Weight and Balance Calculation,Maintain accurate aircraft weight and balance calculations to ensure safe and efficient aircraft operations,tsc,False,False
Aircraft Wheels and Brakes Maintenance,Maintain and repair aircraft wheels and brakes in dedicated workshops using appropriate resources and conduct functional checks,tsc,False,False
Airfield Civil Infrastructure Maintenance and Design,Maintain and enhance airfield civil infrastructure to meet operational requirements of the airports,tsc,False,False
Airfield Specialised Systems Maintenance and Design,Maintain and enhance airfield specialised systems to meet operational requirements of the airports,tsc,False,False
Airframe Systems Maintenance,"Maintain airframe systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of aircraft hydraulic systems, aircraft flight control systems, aircraft landing gear systems, aircraft door systems, aircraft pneumatic systems and aircraft environmental control and pressurisation systems",tsc,False,False
Airline Crew Scheduling,Manage crew requirements through efficient crew scheduling,tsc,False,False
Airline Distribution Channel Strategies,Develop and implement distribution channel strategies to increase market reach of airlines,tsc,False,False
Airline Marketing,"Plan, develop and implement marketing concepts and campaigns for airlines to drive sales and build brand equity",tsc,False,False
Airline Operations Management,Execute and manage operational activities to contribute to the commercial success of airlines,tsc,False,False
Airline Representation and Station Management,Enforce ground service standards of airlines through monitoring ground service activities and building partnerships with ground handling agents,tsc,False,False
Airline Revenue Management,Develop and implement pricing strategies and revenue management models to maximise airlines revenues,tsc,False,False
Airport Audit and Compliance,Audit airport operations to ensure alignment with world-class airport standards,tsc,False,False
Airport Collaborative Decision Making Model Application,"Utilise the Airport Collaborative Decision Making (A-CDM) model to enhance airport operations and optimise the capacity of runways, terminals, gates and airspace",tsc,False,False
Airport Infrastructure and Facilities Maintenance and Design,Maintain and enhance airport infrastructure and facilities to meet operational and service standards of the airports,tsc,False,False
Airport Operations Management,"Manage interconnected airport functions including aircraft operations, airside activities and landside maintenance",tsc,False,False
Airport Safeguarding and Security,Develop and execute airport safety and security policies to promote a safe working environment and passenger experience,tsc,False,False
Airport Service Quality Management,Implement and drive improvements in service quality standards at the airports,tsc,False,False
Airport and Airline Economics,Analyse factors affecting the performance of airports and/or airlines operations and recommend actions for improvements,tsc,False,False
Airside Driving,Operate vehicles at the airside and verify functionality of vehicles,tsc,False,False
Airside Operations Management,Plan and coordinate airside operational activities to ensure compliance with airside safety standards,tsc,False,False
Airside Safety,Develop and execute airside safety policies to promote a safer working environment at the airside,tsc,False,False
Airway Assessment and Management,Perform assessment and management of the airway,tsc,False,False
Alarm System Management,Detect alarm activations and respond appropriately,tsc,False,False
Alcoholic Beverage Preparation,Prepare and serve a range of alcoholic beverages using various beverage preparation techniques,tsc,False,False
Ambulance Readiness and Maintenance,Maintain and manage inventory control and equipment for ambulance and storage area,tsc,False,True
Ambulatory Care Service Support,Provide support to team in the provision of ambulatory care services in pharmacist-led services,tsc,False,False
Ammonia Handling and Safety,"Develop, operationalise, and evaluate safe and efficient procedures for handling, transferring, and storing ammonia, and responding to ammonia-related incidents. This includes ensuring compliance with relevant standards and regulations",tsc,False,False
Ammonia Regulations and Standards,"Comply with, enhance, and enforce ammonia-related health, safety, and environmental regulations and standards for an organisation’s maritime operations, including ammonia bunkering. This ensures safe and efficient handling, storing, and transporting of ammonia, as well as responses in emergency ammonia-related incidents",tsc,False,False
Analogue Integrated Circuit Design,"Design, test and implement electronic circuits that process and manipulate continuous or discrete signal values. Translate the desired functionality into physical circuits, focusing on optimised performance, power consumption and reliability.",tsc,False,False
Analysis of Research Data,"Analyse research data, interpret results generated and link them to the research question or related findings in scientific literature",tsc,False,False
Analytical Method Validation,"Verify analytical methods to ensure accuracy, validity, and reliability",tsc,False,True
Analytics and Computational Modelling,"Develop, select and apply algorithms and advanced computational methods to enable systems or software agents to learn, improve, adapt and produce desired outcomes or tasks which also involves the interpretation of data, including the application of data modelling techniques to explore and address a specific issue or requirement",tsc,True,False
Animal Conditioning and Enrichment,Manage animal conditioning and enrichment programmes,tsc,False,False
Animal Habitat Management,"Manage policies and practices regarding the care and maintenance of animal habitats, including the design of animal habitats",tsc,False,False
Animal Husbandry and Nutrition,"Manage policies and practices regarding the care and keeping of animals, including feeding, cleaning and monitoring of animal behaviours",tsc,False,False
Animal Transaction,Manage practices to restrain and convey animals during animal transportation,tsc,False,False
Applications Development,"Develop applications based on design specifications by applying technical skills to code, test, debug, document, and refine components, including advanced applications, augmented reality with predictive analytics and geo-spatial capabilities",tsc,True,False
Applications Integration,"Integrate data or functions from one application program with that of another application program - involves development of an integration plan, programming and the identification and utilisation of appropriate middleware to optimise the connectivity and performance of disparate applications across target environments",tsc,False,False
Applications Support and Enhancement,"Provide ongoing technical support and improvements to application users by offering technical guidance and assistance for installation and maintenance, resolving application problems, and responding to change requests to enhance operations and usage",tsc,False,False
Applied Research and Development Management,Manage research and development projects to innovate and develop new products and operational processes,tsc,False,False
Apply 5S Techniques in the Workplace,Apply 5S techniques in the workplace in accordance with organisational procedures,tsc,False,False
Apply Containment Principles in Laboratory Design,"Apply containment principles in laboratory facility designs and construction in accordance with applicable standards, guidelines and legislations for biosafety and biosecurity",tsc,False,False
Apply Good Biosafety Practices when Working with Animals,"Applying biosafety practices when working with animals in accordance with national and international biosafety standards, guidelines and legislations",tsc,False,False
Apply Teamwork in the Workplace,"Apply teamwork in the workplace, work as a team and participate in team activities in accordance with organisational procedures",tsc,False,False
Apply Workplace Safety and Health Practices,Apply workplace safety and health practices to ensure the safety for self and others at work,tsc,False,False
Apply Workplace Safety and Health in Construction Sites,"Apply workplace safety and health legal requirements and practices to ensure personnel safety at work in the construction industry, identify responsibilities in construction jobs, follow safe work procedures, adopt relevant risk controls and work at height measures and respond to fire emergencies",tsc,False,False
Apply Workplace Safety and Health in Logistics and Transportation,"Apply workplace safety and health approaches related to logistic and transport, recognise safety hazards, adopt preventive measures and observe safety signs and safe work procesures",tsc,False,False
Apply Workplace Safety and Health in Metal Work,"Apply workplace safety and health legal requirements and practices for metal works to ensure personnel safety, identify roles and responsibilities in a metal work jobs, follow safe work procedures, adopt relevant risk control measures and respond to fire emergencies",tsc,False,False
Apply Workplace Safety and Health in Process Plant,Apply workplace safety and health practices to ensure personnel safety at work in the oil and petrochemical industry in accordance with Workplace Safety and Health Act,tsc,False,False
Apply Workplace Safety and Health in Shipyard (General Trade),Apply shipyard workplace safety and health approaches for workers in general trade work in shipbuilding and ship-repair environment,tsc,False,False
Aquaculture Techniques and Breeding Programme Management,"Apply aquaculture principles and techniques to rear aquatic food animals, incorporating aquatechnologies and processes to optimise yield in accordance with business objectives",tsc,False,False
Architecture Design,"Utilise holistic design approaches for the conceptualisation, development and enhancement of design solutions",tsc,False,False
Arrestation,Apply appropriate apprehension techniques on suspects during the committing of unlawful acts,tsc,False,True
Art Department Graphic Design,Conceptualise and create graphic elements to be applied onto props and signage,tsc,False,False
Art Form Experience and Knowledge,"Demonstrate artistic talent, creativity, and knowledge of concepts, processes, styles, and forms of expression in chosen art form",tsc,False,False
Art Form History and Culture,"Understand and teach the history and cultural context of the chosen art form, including prominent artists, the historical evolution of the art form, and the background of the art form in Singapore",tsc,False,False
Art Form Pedagogy,Understand and apply the instructional techniques best suited to teach the chosen art form to create positive learning outcomes,tsc,False,False
Art Form Showcase,Understand the key products and outcomes of creative expression in chosen art form to be embedded into class practice and assessments and drive experience-based learning,tsc,False,False
Artificial Intelligence Application,"Apply algorithmic, statistical and contexture domain knowledge to integrate artificial intelligence into business and operation processes, products and services",tsc,True,False
Artificial Intelligence Ethics and Governance,"Establish and drive Artificial Intelligence Ethics and Governance frameworks to ensure compliance, manage risks and commercial benefits in product design",tsc,False,True
Arts Curriculum Design,"Design and develop overall curriculum framework, including learning outcomes, art form specific pedagogy, course content and materials, structure of learning units and activities, assessment criteria, and showcase opportunities",tsc,False,True
Arts Education Research,"Investigate a research focus and hypothesis leading to the generation of insights on current developments, trends and innovative methods of learning delivery and programme design",tsc,False,False
Asbestos Removal,Formulate an asbestos removal plan for the removal of asbestos from the workplace to minimise exposure and protect the health of all involved,tsc,False,False
Asbestos Risk Management,Formulate a management plan and implement control measures for the management of asbestos,tsc,False,False
Asian Cold Dish and Dessert Preparation,Prepare and present various Asian cold dishes and desserts in accordance with organisational procedures and recipes before serving to customers,tsc,False,False
Asian Cuisine Preparation and Cooking,Prepare and present standard and complex Asian cuisine dishes,tsc,False,False
Assess Shipyard Safety for Hot-Work Certification,Perform safety assessment for hot work certification in shipbuilding and ship-repair environment in accordance with prevailing workplace safety and health regulations and organisational procedures,tsc,False,False
Assessment Design and Implementation,Design and implement assessment methods and tools to evaluate learner progress,tsc,False,False
Asset Integrity Management,"Manage asset integrity of process plants and equipment to ensure optimal availability, reliability and integrity of equipment and systems",tsc,False,False
Asset Management,Formulate and implement asset management policies to optimise asset life-cycles and performance,tsc,False,False
Asset Management and Monitoring of Distributed Generation Systems,"Monitor, control and optimise the performance of distributed generation systems to ensure reliable data collection and monitoring, system scalability and integration of advanced cybersecurity protocols, while driving innovation through artificial intelligence and machine learning for real-time data analysis, predictive maintenance and energy management, adapting to emerging technologies and industry best practices",tsc,False,False
Asset and Inventory Management,Manage asset and inventory controls to improve resource optimisation and costs reduction for effective business operations,tsc,False,True
Asset and Liability Management,"Address risks faced by financial institutions or banks due to mismatch between assets and liabilities by performing capital, liquidity, interest rate and balance sheet management",tsc,False,False
Assistive Devices Prescription in Occupational Therapy,"Prescribe the appropriate therapeutic aids, devices, and equipment as required by clients",tsc,False,False
Attractions Content and Experience Development and Delivery,Manage the content development and experience concepts within the attractions site to enhance visitor engagement and experience,tsc,False,True
Attractions Guest Relations Management,"Manage guest relations strategies and policies to enhance on-site guest experience, including the management of special guest requests, requirements and needs",tsc,False,True
"Attractions Membership, Admission and Ticketing Management","Manage membership, admission and ticketing operations within the attractions sites, including the implementation of these policies at the frontline guest-servicing counters",tsc,False,True
Attractions Programme Development,Manage programmes catered for attractions visitor groups,tsc,False,True
Attractions Ride and Equipment Maintenance,Manage operation and maintenance of attraction rides and equipment,tsc,False,False
Attractions Transportation Operations,"Manage transportation services for visitors within the attractions sites, including trams, buses and other modes of transportation",tsc,False,False
Attribution Analysis,"Analyse portfolio and fund manager performance, identify specific portfolio performance factors, and apply attribution analysis methods",tsc,False,False
Audience Analytics,"Perform systematic collection, analysis, and interpretation of data related to audience behaviour and engagement across various digital platforms",tsc,False,False
Audience Segmentation,"Divide a broad audience into more defined groups based on shared characteristics, behaviours or demographics",tsc,False,False
Audio Programming,Develop programs to implement interactive sound and sound effects within electronic games,tsc,False,True
Audit Compliance,Ensure compliance with corporate policies and guidelines,tsc,False,True
Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements,tsc,False,True
Audit Management,"Review and assess organisational objectives, policies, procedures, structure, controls, and systems to verify efficient management of activities and ensure service quality adheres to standards while developing initiatives to enhance quality",tsc,False,False
Audit and Compliance,Develop compliance processes and audit strategy for the organisation to review adherence to statutory regulatory and standards. Assessment and enhancement of the thoroughness of compliance and/or governance processes and organisation's internal controls to align with changing compliance standards. This also includes the actual conduct and/or performance of audit activities,tsc,False,False
Audit and Review Management,"Manage audit and review processes and procedures, including planning, execution, and reporting, to ensure compliance with legal and quality management system requirements",tsc,False,False
Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities,tsc,False,True
Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc,False,True
Augmented Reality Application,Facilitate the design and implementation of augmented reality applications to increase efficiency of work processes,tsc,True,False
Automated Distribution Management,"Maintain, oversee and review automated processes and systems within a department",tsc,True,False
Automated Equipment and Control Systems Configuration,"Configure automated equipment and control systems to support business, operational and/or maunfacturing processes",tsc,False,False
Automated Food Manufacturing System Maintenance,Maintain automation systems to meet operation requirements as well as propose strategies for improvement of automation systems' performance,tsc,True,False
Automated Operation Monitoring,"Maintain and monitor automated systems and equipment to ensure smooth operations and quality execution of business, operations and/or manufacturing process flows",tsc,True,False
Automated Process Design,Design processes that utilise automated equipment and control systems,tsc,True,False
Automated System Design,Design and commission automated systems while evaluating system design specifications against functional requirements,tsc,True,False
Automatic Fare Collection Auxiliary Systems Maintenance,Implement preventive and corrective maintenance activities of Automatic Fare Collection (AFC) auxiliary systems,tsc,False,False
Automatic Fare Collection Gate Maintenance,Implement preventive and corrective maintenance activities of Automatic Fare Collection gates,tsc,False,False
Automatic Fare Collection Sales Device Maintenance,Implement preventive and corrective maintenance activities of Automatic Fare Collection (AFC) sales devices,tsc,False,False
Automation Design,"Manage control systems and information technology to reduce the need for human work in the production of goods and services in order to streamline operations in terms of speed, reliability and product output",tsc,False,False
Automation Management in Product Development,Oversee automation systems to ensure operation requirements for product development are met as well as propose strategies for automation systems performance improvement,tsc,False,True
Automation Process Control,"Apply automated process control to monitor operations performance metrics and/or manufacturing output quality, determine optimal settings and productivity improvement strategies, reduce process variations, and detect process deviations",tsc,True,False
Automation Research and Implementation,Manage equipment and information technologies and integrate into organisation operations or processes to achieve organisation desired outcomes,tsc,True,False
Automation System Maintenance,Maintain automation systems to meet operational requirements and propose strategies to improve their performance,tsc,True,False
Automation of Landscape Operations,"Adopt and incorporate automation technology within landscape operations to improve productivity, efficiency and effectiveness",tsc,True,False
Autonomous Logistics Design and Application,"Identify suitable models in the design and implementation of autonomous machines in existing operations, as well as formulate and present validating strategies for management's approval and review and refine them on a continuous basis",tsc,True,False
Autonomous Systems Technology Application,"Integrate autonomous systems and technologies in operational workflows, including processes, maintenance, logistics and plant surveillance, to enhance productivity and precision, and reduce reliance on manual tasks",tsc,True,False
Autonomous Vehicle Equipment and System Operation,"Check and operate autonomous vehicle equipment and systems before, during, and after service operations",tsc,False,False
Autonomous Vehicle Incident Management,Apply incident management procedures to respond to autonomous vehicle accidents and incidents in accordance with regulatory and organisational requirements,tsc,False,False
Autonomous Vehicle Operations,Operate autonomous vehicles in accordance with regulatory and operational requirements,tsc,False,False
Autonomous Vehicle Remote Intervention and System Recovery,"Apply remote intervention, system recovery, and fleet management procedures to maintain safe autonomous vehicle operations and drive operational improvements",tsc,False,False
Autonomous Vehicles Principles Applications,Apply autonomous vehicle concepts and safety principles to support safe and compliant autonomous vehicle operations within defined operational limits,tsc,False,False
Aviation Accident and Incident Response Management,"Deploy appropriate tools, procedures and resources to respond to aviation inustry accidents and incidents",tsc,False,False
Aviation Emergency Response Planning,"Plan emergency response procedures to manage incidents and accidents at the airside, terminals and landside",tsc,False,False
Aviation Legislation Compliance,Comply with relevant aviation legislative and regulatory requirements by establishing and adhering to operating procedures to prevent incidents of non-compliance and regulatory oversight,tsc,False,False
Baggage Handling Operations,Manage overall baggage handling operations according to safety standards and Standard Operating Procedures (SOPs),tsc,False,False
Baggage Loading and Unloading Administration,Manage baggage loading and unloading activities to and from the aircraft in accordance with loading plans and Standard Operating Procedures (SOPs),tsc,False,False
Baggage Lost and Found Operations,Provide quality services and execute appropriate actions to ensure timely delivery and recovery of lost baggage,tsc,False,False
Baggage Security Screening Operations,Screen baggage in accordance with 100 percent Hold Baggage Screening (HBS) standards to facilitate detection and prohibition of explosives and security threats,tsc,False,False
Baggage Services Management,Manage all baggage service operations to deliver baggage to and from aircraft,tsc,False,False
Ballast System Design,"Design ballast systems for ships, rigs and/or conversions by interpreting trim and stability tables and applying principles of fluid dynamics, pumping and piping systems, in compliance with regulations",tsc,False,True
Battery Systems Design Management,Design and review battery systems according to capacity requirements and site constraints,tsc,False,False
Battery and Battery Charger Maintenance,Implement preventive and corrective maintenance activities of battery and battery charger,tsc,False,False
Battery and Energy Storage System Testing and Diagnostics,"Test, analyse and evaluate Battery and Energy Storage Systems performance, leveraging on diagnostic methodologies to uncover and troubleshoot issues and identify opportunities to enhance BESS performance and efficiency, while integrating emerging technologies into testing and diagnostic approaches across various battery and material types, ensuring compliance with industry standards and regulations",tsc,False,False
Behaviour Change Facilitation,Drive mindset shifts and behaviour changes to sustain learning initiatives and interventions,tsc,False,False
Behavioural Analysis and Predictive Screening,Mitigate security threats by deploying behavioural analysis and predictive screening techniques,tsc,True,False
Behavioural Economics,"Examine psychological, behavioural, emotional and social factors to uncover insights on how people behave and make decisions",tsc,False,True
Behavioural Finance,"Examine the psychological, social, cognitive and emotional factors in investment",tsc,False,False
Behavioural Safety Management,Manage behavioural safety programmes in an organisation,tsc,False,False
Bell Service Delivery,"Greet and provide assistance to arriving and departing guests, including luggage handling and delivery of items to rooms",tsc,False,False
Benchmarking,Compare organisational performance to other organisations and industries,tsc,False,False
Benefits Management,"Manage the implementation, review and administration of benefits to employees",tsc,False,True
Bias Identification and Mitigation,Idenitfy and mitigate AI bias in content database,tsc,False,False
Billing Enquiry Management,"Manage overall billing-related enquiries, extensions and mitigate disputes",tsc,False,False
Billing Procedure,Perform and manage billing procedures and finance-related activities,tsc,False,True
Billing Process Improvement Management,Manage billing operations to improve efficiency and data integrity,tsc,False,False
Billing and Data Risk Management,Develop plans to mitigate risks in the context of customer billing and data,tsc,False,False
Billing and Settlement Administration,Administer the settlement and billing operations between the business and operators of the gas market,tsc,False,False
BioPharmaceutical Material Management,Manage biopharmaceuticals materials and materials flow according to established procedures for meeting batch requirements,tsc,False,False
BioPharmaceuticals Manufacturing Process Design,"Design cost-efficient, robust and reliable manufacturing processes aligned with stakeholder expectations, business priorities and industry best practices",tsc,False,False
BioPharmaceuticals Manufacturing Process Optimisation,"Analyse biopharmaceuticals manufacturing processes and identify adjustments that will reduce costs of manufacturing and increase quality, throughput and efficiency",tsc,False,False
BioPharmaceuticals Manufacturing Quality Control Management,"Establish quality control procedures for biopharmaceutical manufacturing processes, products, equipment and systems, to ensure the desired level of compliance at all stages",tsc,False,False
Biological Hazards Management,"Assess the necessary control measures including facility control, equipment control, safe practices and procedures and the use of personal protective equipment to help ensure biosafety at the workplace",tsc,False,False
Biological Product Introduction,Facilitate the introduction of new biological products by designing manufacturing processes needed to achieve cost-effective production and meet design specifications,tsc,False,False
Biophilic Design,Design landscapes with the objective of increasing user engagement with nature,tsc,True,False
